study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,stratum,operator,primary_class,primary_admissible,primary_detecting_protocols,secondary_reproducible,secondary_features,secondary_detects_primary_miss,canonical_secondary_only
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,primary_semantic,scale_conductance,5_non_equivalent,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,P00_canonical:first_isi;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P06_ramp:mean_frequency,first_isi;mean_frequency,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-211745202a,hay2011_soma,primary_semantic,scale_conductance,6_silent_under_canonical,True,P05_long_step,P05_long_step:first_isi,first_isi,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-75492a609a,hay2011_soma,primary_semantic,scale_conductance,4_equivalent_within_tested_domain,False,,,,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-49ff9dfe7d,hay2011_soma,primary_semantic,scale_conductance,5_non_equivalent,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency,first_isi;mean_frequency,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-fc43f168e8,hay2011_soma,primary_semantic,shift_reversal,4_equivalent_within_tested_domain,False,,,,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,primary_semantic,shift_reversal,5_non_equivalent,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P06_ramp:mean_frequency,first_isi;mean_frequency,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-e5f14f8fb3,hay2011_soma,primary_semantic,shift_reversal,4_equivalent_within_tested_domain,False,,,,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5b6a87e0b4,hay2011_soma,primary_semantic,shift_reversal,5_non_equivalent,True,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P09_short_pulse,P00_canonical:baseline_voltage;P02_weak_step:baseline_voltage;P02_weak_step:voltage_deflection;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency;P07_hyperpolarizing_step:baseline_voltage;P07_hyperpolarizing_step:minimum_voltage;P07_hyperpolarizing_step:sag_ratio;P07_hyperpolarizing_step:voltage_deflection;P08_rebound:maximum_voltage,baseline_voltage;first_isi;maximum_voltage;mean_frequency;minimum_voltage;sag_ratio;voltage_deflection,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-068b4305c4,hay2011_soma,primary_semantic,scale_capacitance,5_non_equivalent,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P06_ramp:mean_frequency;P07_hyperpolarizing_step:minimum_voltage,first_isi;mean_frequency;minimum_voltage,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-767ea7d652,hay2011_soma,primary_semantic,scale_capacitance,5_non_equivalent,True,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P06_ramp:mean_frequency;P07_hyperpolarizing_step:minimum_voltage;P07_hyperpolarizing_step:sag_ratio;P08_rebound:maximum_voltage,first_isi;maximum_voltage;mean_frequency;minimum_voltage;sag_ratio,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-02eb4e0b90,hay2011_soma,primary_semantic,scale_gate_time_constant,6_silent_under_canonical,True,P05_long_step,P05_long_step:first_isi,first_isi,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-52af1c4a01,hay2011_soma,primary_semantic,scale_gate_time_constant,4_equivalent_within_tested_domain,False,,,,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-373705d436,hay2011_soma,primary_semantic,shift_gate_midpoint,5_non_equivalent,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi,first_isi;mean_frequency,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-831ea54a80,hay2011_soma,primary_semantic,shift_gate_midpoint,5_non_equivalent,True,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,P00_canonical:ap_half_width;P00_canonical:firing_regime;P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:ap_half_width;P04_step_2x:burst_count;P04_step_2x:firing_regime;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:ap_half_width;P05_long_step:burst_count;P05_long_step:firing_regime;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:firing_regime;P06_ramp:mean_frequency;P09_short_pulse:ap_half_width,ap_half_width;burst_count;firing_regime;first_isi;mean_frequency,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,primary_semantic,scale_gate_slope,5_non_equivalent,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi,first_isi;mean_frequency,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-484491b9f3,hay2011_soma,primary_semantic,shift_forward_rate_midpoint,5_non_equivalent,True,P00_canonical;P04_step_2x;P05_long_step;P07_hyperpolarizing_step;P09_short_pulse,P00_canonical:baseline_voltage;P02_weak_step:baseline_voltage;P02_weak_step:voltage_deflection;P04_step_2x:first_isi;P05_long_step:first_isi;P07_hyperpolarizing_step:baseline_voltage;P07_hyperpolarizing_step:minimum_voltage;P07_hyperpolarizing_step:voltage_deflection,baseline_voltage;first_isi;minimum_voltage;voltage_deflection,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,numerical_robustness,increase_dt,6_silent_under_canonical,True,P04_step_2x;P05_long_step;P09_short_pulse,P04_step_2x:ap_half_width;P09_short_pulse:ap_half_width,ap_half_width,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-solver_config-e526354a57,hay2011_soma,numerical_robustness,solver_config,4_equivalent_within_tested_domain,False,,,,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-recording_resolution-fb013c45fa,hay2011_soma,numerical_robustness,recording_resolution,4_equivalent_within_tested_domain,False,,,,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_channel-36578b9f51,hay2011_soma,primary_semantic,wrong_channel,2_non_executable,False,,,,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-omit_include-6ba9e96842,hay2011_soma,primary_semantic,omit_include,1_structurally_invalid,False,,,,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-596d29cbb4,hay2011_soma,primary_semantic,duplicate_conductance,5_non_equivalent,True,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,P00_canonical:ap_half_width;P00_canonical:first_isi;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P06_ramp:mean_frequency,ap_half_width;first_isi;mean_frequency,False,False
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-51b1ad6cb5,hay2011_soma,primary_semantic,wrong_compatible_component,5_non_equivalent,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency,first_isi;mean_frequency,False,False
